plasmid_id;h2o_volume;buffer;mastermix;pMYT039__10x__;pYTK009__10x__;pYTK014__10x__;pYTK018__10x__;pYTK027__10x__;pYTK033__10x__;pYTK053__10x__;pMYT039;pYTK009;pYTK014;pYTK018;pYTK027;pYTK033;pYTK053
mastermix;0,0;8,0;;4,0;;;;;4,0;4,0;;;;;;;
pMYT039__10x__;7,833;;;;;;;;;;2,0;;;;;;
pYTK009__10x__;5,884;;;;;;;;;;;1,0;;;;;
pYTK014__10x__;5,826;;;;;;;;;;;;1,0;;;;
pYTK018__10x__;5,826;;;;;;;;;;;;;1,0;;;
pYTK027__10x__;5,827;;;;;;;;;;;;;;1,0;;
pYTK033__10x__;11,607;;;;;;;;;;;;;;;2,0;
pYTK053__10x__;7,518;;;;;;;;;;;;;;;;1,0
pSA001;4,0;;5,0;;1,0;;;;;;;;;;;;
pSA002;4,0;;5,0;;;1,0;;;;;;;;;;;
pSA003;4,0;;5,0;;;;1,0;;;;;;;;;;
pSA004;4,0;;5,0;;;;;1,0;;;;;;;;;
