pID;Name
pYTK009;pTDH3
pYTK010;pCCW12
pYTK011;pPGK1
pYTK012;pHHF2
pYTK013;pTEF1
pYTK014;pTEF2
pYTK015;pHHF1
pYTK016;pHTB2
pYTK017;pRPL18B
pYTK018;pALD6
pYTK019;pPAB1
pYTK020;pRET2
pYTK021;pRNR1
pYTK022;pSAC6
pYTK023;pRNR2
pYTK024;pPOP6
pYTK025;pRAD27
pYTK026;pPSP2
pYTK027;pREV1
pYTK028;pMFA1
pYTK029;pMFalpha2
pYTK030;pGAL1
pYTK031;pCUP1
pYTK032;mTurquoise2_3
pYTK033;Venus
pYTK034;mRuby2
pYTK035;I-SceI
pYTK036;Cas9
pYTK051;tENO1
pYTK052;tSSA1
pYTK053;tADH1
pYTK054;tPGK1
pYTK055;tENO2
pYTK056;tTDH1
pMYT039;AmpRS1
