plasmid_id,h2o_volume,buffer,mastermix,pCDE067,pCDE068,pCDE069,pMYT015,pMYT018,pUPR066,pYSD002,pYSD004,pYSD005,pYSD007,pYSD008,pYSD009,pYSD080,pYSD081,pYSD082,pYSD083,pYSD084,pYTK002,pYTK003,pYTK004,pYTK005,pYTK006,pYTK007,pYTK010,pYTK025,pYTK033,pYTK053,pYTK054,pYTK055,pYTK066,pYTK067,pYTK068,pYTK069,pYTK070,pYTK071,pYTK072,pYTK095
mastermix,0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.467
pIB001,6.946,,2.18,0.177,,,0.126,,,,0.106,,,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB002,6.945,,2.18,0.177,,,0.126,,,,,,,0.107,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB003,6.944,,2.18,0.177,,,0.126,,,,,0.108,,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB004,6.946,,2.18,0.177,,,0.126,,,,,,,,0.106,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB005,6.945,,2.18,0.177,,,0.126,,,0.107,,,,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB006,6.945,,2.18,0.177,,,0.126,,,,,,0.107,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB007,6.899,,2.18,0.177,,,0.126,,,,0.106,,,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB008,6.899,,2.18,0.177,,,0.126,,,,,,,0.107,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB009,6.898,,2.18,0.177,,,0.126,,,,,0.108,,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB010,6.899,,2.18,0.177,,,0.126,,,,,,,,0.106,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB011,6.899,,2.18,0.177,,,0.126,,,0.107,,,,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB012,6.899,,2.18,0.177,,,0.126,,,,,,0.107,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB013,6.923,,2.18,0.177,,,0.126,,,,0.106,,,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB014,6.923,,2.18,0.177,,,0.126,,,,,,,0.107,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB015,6.922,,2.18,0.177,,,0.126,,,,,0.108,,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB016,6.923,,2.18,0.177,,,0.126,,,,,,,,0.106,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB017,6.923,,2.18,0.177,,,0.126,,,0.107,,,,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB018,6.923,,2.18,0.177,,,0.126,,,,,,0.107,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB019,6.945,,2.18,0.177,,,0.126,,,,0.106,,,,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB020,6.945,,2.18,0.177,,,0.126,,,,,,,0.107,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB021,6.944,,2.18,0.177,,,0.126,,,,,0.108,,,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB022,6.945,,2.18,0.177,,,0.126,,,,,,,,0.106,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
pIB023,6.945,,2.18,0.177,,,0.126,,,0.107,,,,,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,
