plasmid_id,h2o_volume,buffer,pCDE067,pCDE068,pCDE069,pMYT015,pMYT018,pUPR066,pYSD002,pYSD004,pYSD005,pYSD007,pYSD008,pYSD009,pYSD080,pYSD081,pYSD082,pYSD083,pYSD084,pYTK002,pYTK003,pYTK004,pYTK005,pYTK006,pYTK007,pYTK010,pYTK025,pYTK033,pYTK053,pYTK054,pYTK055,pYTK066,pYTK067,pYTK068,pYTK069,pYTK070,pYTK071,pYTK072,pYTK095
pIB001,6.946,2.0,0.177,,,0.126,,,,0.106,,,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB002,6.945,2.0,0.177,,,0.126,,,,,,,0.107,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB003,6.944,2.0,0.177,,,0.126,,,,,0.108,,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB004,6.946,2.0,0.177,,,0.126,,,,,,,,0.106,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB005,6.945,2.0,0.177,,,0.126,,,0.107,,,,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB006,6.945,2.0,0.177,,,0.126,,,,,,0.107,,,,0.121,,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB007,6.899,2.0,0.177,,,0.126,,,,0.106,,,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB008,6.899,2.0,0.177,,,0.126,,,,,,,0.107,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB009,6.898,2.0,0.177,,,0.126,,,,,0.108,,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB010,6.899,2.0,0.177,,,0.126,,,,,,,,0.106,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB011,6.899,2.0,0.177,,,0.126,,,0.107,,,,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB012,6.899,2.0,0.177,,,0.126,,,,,,0.107,,,,,,0.168,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB013,6.923,2.0,0.177,,,0.126,,,,0.106,,,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB014,6.923,2.0,0.177,,,0.126,,,,,,,0.107,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB015,6.922,2.0,0.177,,,0.126,,,,,0.108,,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB016,6.923,2.0,0.177,,,0.126,,,,,,,,0.106,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB017,6.923,2.0,0.177,,,0.126,,,0.107,,,,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB018,6.923,2.0,0.177,,,0.126,,,,,,0.107,,,,,,,0.144,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB019,6.945,2.0,0.177,,,0.126,,,,0.106,,,,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB020,6.945,2.0,0.177,,,0.126,,,,,,,0.107,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB021,6.944,2.0,0.177,,,0.126,,,,,0.108,,,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB022,6.945,2.0,0.177,,,0.126,,,,,,,,0.106,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB023,6.945,2.0,0.177,,,0.126,,,0.107,,,,,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB024,6.945,2.0,0.177,,,0.126,,,,,,0.107,,,,,0.122,,,0.115,,,,,,,,,,,,0.117,0.113,,,,,,0.18
pIB025,6.924,2.0,,,0.198,0.126,,,,0.106,,,,,,0.121,,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB026,6.924,2.0,,,0.198,0.126,,,,,,,0.107,,,0.121,,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB027,6.923,2.0,,,0.198,0.126,,,,,0.108,,,,,0.121,,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB028,6.924,2.0,,,0.198,0.126,,,,,,,,0.106,,0.121,,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB029,6.924,2.0,,,0.198,0.126,,,0.107,,,,,,,0.121,,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB030,6.924,2.0,,,0.198,0.126,,,,,,0.107,,,,0.121,,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB031,6.878,2.0,,,0.198,0.126,,,,0.106,,,,,,,,0.168,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB032,6.877,2.0,,,0.198,0.126,,,,,,,0.107,,,,,0.168,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB033,6.876,2.0,,,0.198,0.126,,,,,0.108,,,,,,,0.168,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB034,6.878,2.0,,,0.198,0.126,,,,,,,,0.106,,,,0.168,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB035,6.877,2.0,,,0.198,0.126,,,0.107,,,,,,,,,0.168,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB036,6.877,2.0,,,0.198,0.126,,,,,,0.107,,,,,,0.168,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB037,6.902,2.0,,,0.198,0.126,,,,0.106,,,,,,,,,0.144,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB038,6.901,2.0,,,0.198,0.126,,,,,,,0.107,,,,,,0.144,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB039,6.9,2.0,,,0.198,0.126,,,,,0.108,,,,,,,,0.144,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB040,6.902,2.0,,,0.198,0.126,,,,,,,,0.106,,,,,0.144,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB041,6.901,2.0,,,0.198,0.126,,,0.107,,,,,,,,,,0.144,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB042,6.901,2.0,,,0.198,0.126,,,,,,0.107,,,,,,,0.144,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB043,6.924,2.0,,,0.198,0.126,,,,0.106,,,,,,,0.122,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB044,6.923,2.0,,,0.198,0.126,,,,,,,0.107,,,,0.122,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB045,6.922,2.0,,,0.198,0.126,,,,,0.108,,,,,,0.122,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB046,6.924,2.0,,,0.198,0.126,,,,,,,,0.106,,,0.122,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB047,6.923,2.0,,,0.198,0.126,,,0.107,,,,,,,,0.122,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB048,6.923,2.0,,,0.198,0.126,,,,,,0.107,,,,,0.122,,,,0.115,,,,,,,,,,,0.117,,0.113,,,,,0.18
pIB049,6.859,2.0,,0.263,,0.126,,,,0.106,,,,,,0.121,,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB050,6.858,2.0,,0.263,,0.126,,,,,,,0.107,,,0.121,,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB051,6.858,2.0,,0.263,,0.126,,,,,0.108,,,,,0.121,,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB052,6.859,2.0,,0.263,,0.126,,,,,,,,0.106,,0.121,,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB053,6.858,2.0,,0.263,,0.126,,,0.107,,,,,,,0.121,,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB054,6.858,2.0,,0.263,,0.126,,,,,,0.107,,,,0.121,,,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB055,6.813,2.0,,0.263,,0.126,,,,0.106,,,,,,,,0.168,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB056,6.812,2.0,,0.263,,0.126,,,,,,,0.107,,,,,0.168,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB057,6.811,2.0,,0.263,,0.126,,,,,0.108,,,,,,,0.168,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB058,6.812,2.0,,0.263,,0.126,,,,,,,,0.106,,,,0.168,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
pIB059,6.812,2.0,,0.263,,0.126,,,0.107,,,,,,,,,0.168,,,,0.115,,,,,,,,,,0.117,,,0.113,,,,0.18
